"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"唐"	"tang2"	"7"	"Tang dynasty (618-907)"	"surname Tang, to exaggerate, empty, in vain, old variant of 螗[tang2]"	"荒唐 (huāngtáng)"
"荒唐"	"huāngtáng"	"7"	"beyond belief"	"preposterous, absurd, intemperate, dissipated"	""
"慌張"	"huāngzhāng"	"7"	"confused"	"flustered"	""
"惶"	"huang2"	"7"	"frightened"	""	"惶恐 (huángkǒng)"
"惶恐"	"huángkǒng"	"7"	"terrified"	""	""
"恍"	"huang3"	"7"	"variant of 恍[huang3]"	"disappointed, flurried, indistinct"	"恍惚 (huănghū)"
"惚"	"hu1"	"7"	"indistinct"	""	"恍惚 (huănghū)"
"恍惚"	"huănghū"	"7"	"absent-minded"	"distracted, dazzled, vaguely, dimly"	""
"灰塵"	"huīchén"	"7"	"dust"	""	""
"煌"	"huang2"	"7"	"brilliant"	""	"輝煌 (huīhuáng)"
"輝煌"	"huīhuáng"	"7"	"splendid"	"glorious"	""
"回合"	"huíhé"	"7"	"one of a sequence of contests (or subdivisions of a contest) between the same two opponents"	"round (boxing etc), rally (tennis etc), frame (billiards etc), inning, (tennis, soccer etc) rubber or leg, round (of negotiations)"	""
"回絕"	"huíjué"	"7"	"to rebuff"	"to refuse, to turn down"	""
"回升"	"huíshēng"	"7"	"to rise again after a fall"	"to pick up, rally (stock market etc)"	""
"迴"	"huíxiăng"	"7"	"to curve"	"to return, to revolve"	""
"毀損"	"huǐsŭn"	"7"	"impair, damage"	""	""
"悔恨"	"huǐhèn"	"7"	"remorse"	"repentance"	""
"匯票"	"huìpiào"	"7"	"bill of exchange"	"bank draft"	""
"會見"	"huìjiàn"	"7"	"to meet with (sb who is paying a visit)"	"CL:次[ci4]"	""
"會談"	"huìtán"	"7"	"talks"	"discussions, CL:次[ci4]"	""
"會意"	"huìyì"	"7"	"combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters)"	"Chinese character that combines the meanings of existing elements, also known as joint ideogram or associative compounds, to comprehend without being told explicitly, to cotton on, knowing (smile, glance etc)"	""
"繪畫"	"huìhuà"	"7"	"drawing"	"painting"	""
"賄"	"hui4"	"7"	"bribe"	"bribery"	"賄賂 (huìlù)"
"賂"	"lu4"	"7"	"bribe"	"bribery"	"賄賂 (huìlù)"
"賄賂"	"huìlù"	"7"	"to bribe"	"a bribe"	""
"彗"	"hui4"	"7"	"broom"	""	"彗星 (huìxīng)"
"彗星"	"huìxīng"	"7"	"comet"	""	""
"渾"	"hun2"	"7"	"muddy"	"to mix"	"渾身 (húnshēn)"
"渾身"	"húnshēn"	"7"	"all over"	"from head to foot"	""
"淆"	"xiao2 yao2"	"7"	"variant of 淆[xiao2]"	"variant of 肴[yao2], confused and disorderly, mixed, Taiwan pr. [yao2], meat dishes, mixed viands"	"混淆 (hùnyáo)"
"混淆"	"hùnyáo"	"7"	"to obscure"	"to confuse, to mix up, to blur, to mislead"	""
"濁"	"zhuo2"	"7"	"turbid"	"muddy, impure"	"混濁 (hùnzhuó)"
"混濁"	"hùnzhuó"	"7"	"turbid"	"muddy, dirty"	""
"活期"	"huóqí"	"7"	"(banking) current (account)"	"checking (account), demand (deposit etc)"	""
"火箭"	"huǒjiàn"	"7"	"rocket"	"CL:枚[mei2]"	""
"火力"	"huǒlì"	"7"	"fire"	"firepower"	""
"焰"	"yan4"	"7"	"variant of 焰[yan4]"	""	"火焰 (huǒyàn)"
"火焰"	"huǒyàn"	"7"	"blaze"	"flame"	""
"火藥"	"huǒyào"	"7"	"gunpowder"	""	""
"伙"	"huo3"	"7"	"companion"	"partner, group, classifier for groups of people, to combine, together, many, numerous"	"伙伴 (huǒbàn)"
"伴"	"ban4"	"7"	"partner"	"companion, comrade, associate, to accompany"	"伙伴 (huǒbàn)"
"伙伴"	"huǒbàn"	"7"	"partner"	"companion, comrade"	""
"貨幣"	"huòbì"	"7"	"currency"	"monetary, money"	""
"貨品"	"huòpǐn"	"7"	"goods"	""	""
"豁"	"hua2 huo1 huo4"	"7"	"to play Chinese finger-guessing game"	"opening, stake all, sacrifice, crack, slit, clear, open, exempt (from), liberal-minded"	"豁達 (huòdá)"
"豁達"	"huòdá"	"7"	"optimistic"	"sanguine, generous, magnanimous, open-minded"	""
"基層"	"jīcéng"	"7"	"basic level"	"grassroots unit, basement layer"	""
"基地"	"jīdì"	"7"	"base (of operations)"	"industrial or military base, al-Qaeda"	""
"基督"	"Jīdū"	"7"	"Christ"	""	""
"基因"	"jīyīn"	"7"	"gene (loanword)"	""	""
"機動"	"jīdòng"	"7"	"locomotive"	"motorized, power-driven, adaptable, flexible (use, treatment, timing etc)"	""
"機警"	"jījǐng"	"7"	"perceptive"	"astute, sharp, sharp-witted, vigilant, alert"	""
"機率"	"jīlǜ"	"7"	"probability"	"odds (Tw)"	""
"機密"	"jīmì"	"7"	"secret"	"classified (information)"	""
"機器人"	"jīqìrén"	"7"	"mechanical person"	"robot, android"	""
"機制"	"jīzhì"	"7"	"mechanism"	""	""
"肌膚"	"jīfū"	"7"	"skin"	"flesh, fig. close physical relationship"	""
"飢"	"ji1"	"7"	"hungry"	""	"飢餓 (jīè)"
"飢餓"	"jīè"	"7"	"hunger"	"starvation, famine"	""
"畸"	"ji1"	"7"	"lopsided"	"unbalanced, abnormal, irregular, odd fractional remnant"	"畸形 (jīxíng)"
"畸形"	"jīxíng"	"7"	"deformity"	"abnormality"	""
"激增"	"jīzēng"	"7"	"to increase rapidly"	"to shoot up"	""
"及早"	"jízăo"	"7"	"at the earliest possible time"	"as soon as possible"	""
"吉利"	"jílì"	"7"	"Geely, Chinese car make"	"auspicious, lucky, propitious"	""
"祥"	"xiang2"	"7"	"auspicious"	"propitious"	"吉祥 (jíxiáng)"
"吉祥"	"jíxiáng"	"7"	"lucky"	"auspicious, propitious"	""
"汲"	"ji2"	"7"	"surname Ji"	"to draw (water)"	"汲取 (jíqŭ)"
"汲取"	"jíqŭ"	"7"	"to draw"	"to derive, to absorb"	""
"即日"	"jírì"	"7"	"this or that very day"	"in the next few days"	""
"即時"	"jíshí"	"7"	"immediate"	""	""
"嫉"	"ji2"	"7"	"jealousy"	"to be jealous of"	"嫉妒 (jídù)"
"妒"	"du4"	"7"	"variant of 妒[du4]"	""	"嫉妒 (jídù)"
"嫉妒"	"jídù"	"7"	"to be jealous"	"to envy, to hate"	""
"極端"	"jíduān"	"7"	"extreme"	""	""
"極力"	"jílì"	"7"	"to make a supreme effort"	"at all costs"	""
"極為"	"jíwéi"	"7"	"extremely"	"exceedingly"	""
"集結"	"jíjié"	"7"	"to assemble"	"to concentrate, to mass, to build up, to marshal"	""
"集權"	"jíquán"	"7"	"centralized power (history), e.g. under an Emperor or party"	""	""
"集體"	"jítǐ"	"7"	"collective (decision)"	"joint (effort), a group, a team, en masse, as a group"	""
"集團"	"jítuán"	"7"	"group"	"bloc, corporation, conglomerate"	""
"急救"	"jíjiù"	"7"	"first aid"	"emergency treatment"	""
"急躁"	"jízào"	"7"	"irritable"	"irascible, impetuous"	""
"急診"	"jízhěn"	"7"	"emergency call"	"emergency (medical) treatment"	""
"籍貫"	"jíguàn"	"7"	"one's native place"	"place of ancestry, registered birthplace"	""
"擊落"	"jíluò"	"7"	"to shoot down (a plane)"	""	""
"暨"	"jì"	"7"	"and"	"to reach to, the limits"	""
"繼承"	"jìchéng"	"7"	"to inherit"	"to succeed to (the throne etc), to carry on (a tradition etc)"	""
"季風"	"jìfēng"	"7"	"monsoon"	""	""
"劑"	"ji4"	"7"	"dose (medicine)"	""	"劑量 (jìliàng)"
"劑量"	"jìliàng"	"7"	"dosage"	"prescribed dose of medicine"	""
"紀律"	"jìlǜ"	"7"	"discipline"	""	""
"技能"	"jìnéng"	"7"	"technical ability"	"skill"	""
"技藝"	"jìyì"	"7"	"skill"	"art"	""
"祭"	"zhai4 ji4"	"7"	"surname Zhai"	"to offer sacrifice, festive occasion"	"祭祀 (jìsì)"
"祀"	"si4"	"7"	"variant of 祀[si4]"	""	"祭祀 (jìsì)"
"祭祀"	"jìsì"	"7"	"to offer sacrifices to the gods or ancestors"	""	""
"傢"	"jia1"	"7"	"see 傢伙|家伙[jia1 huo5]"	"surname Jia, home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]"	"傢伙 (jiāhuo)"
"傢伙"	"jiāhuo"	"7"	"variant of 家伙[jia1 huo5]"	"household dish, implement or furniture, domestic animal, (coll.) guy, chap, weapon"	""
"家家戶戶"	"jiājiāhùhù"	"7"	"each and every family (idiom)"	"every household"	""
"家電"	"jiādiàn"	"7"	"household electric appliance"	"abbr. for 家用電器|家用电器"	""
"家屬"	"jiāshŭ"	"7"	"family member"	"(family) dependent"	""
"佳節"	"jiājié"	"7"	"festive day"	"holiday"	""
"佳人"	"jiārén"	"7"	"beautiful woman"	""	""
"加緊"	"jiājǐn"	"7"	"to intensify"	"to speed up, to step up"	""
"加快"	"jiākuài"	"7"	"to accelerate"	"to speed up"	""
"加薪"	"jiāxīn"	"7"	"to raise salary"	""	""
"加重"	"jiāzhòng"	"7"	"to make heavier"	"to emphasize, (of an illness etc) to become more serious, to aggravate (a bad situation), to increase (a burden, punishment etc)"	""
"枷"	"jia1"	"7"	"cangue (wooden collar like stocks used to restrain and punish criminals in China)"	""	"枷鎖 (jiāsuǒ)"
"枷鎖"	"jiāsuǒ"	"7"	"stocks and chain"	"in fetters"	""
"夾雜"	"jiázá"	"7"	"to mix together (disparate substances)"	"to mingle, a mix, to be tangled up with"	""
"若"	"ruò"	"7"	"to seem"	"like, as, if"	"假若 (jiăruò)"
"假若"	"jiăruò"	"7"	"if"	"supposing, in case"	""
"假使"	"jiăshǐ"	"7"	"if"	"in case, suppose, given ..."	""
"假象"	"jiăxiàng"	"7"	"false appearance"	"facade"	""
"架構"	"jiàgòu"	"7"	"to construct"	"to build, infrastructure, architecture, framework"	""
"假期"	"jiàqí"	"7"	"vacation"	""	""
"煎"	"jiān"	"7"	"to pan fry"	"to sauté"	""
"監督"	"jiāndū"	"7"	"to control"	"to supervise, to inspect"	""
"尖端"	"jiānduān"	"7"	"sharp pointed end"	"the tip, the cusp, tip-top, most advanced and sophisticated, highest peak, the best"	""
"堅固"	"jiāngù"	"7"	"firm"	"firmly, hard, stable"	""
"堅忍"	"jiānrěn"	"7"	"persevering"	""	""
"堅信"	"jiānxìn"	"7"	"to believe firmly"	"without any doubt"	""
"堅硬"	"jiānyìng"	"7"	"hard"	"solid"	""
"兼職"	"jiānzhí"	"7"	"to hold concurrent posts"	"concurrent job, moonlighting"	""
"艱"	"jian1"	"7"	"difficult"	"hard, hardship"	"艱鉅 (jiānjù)"
"鉅"	"ju4"	"7"	"hard iron"	"hook, variant of 巨[ju4], variant of 詎|讵[ju4]"	"艱鉅 (jiānjù)"
"艱鉅"	"jiānjù"	"7"	""	""	""
"艱苦"	"jiānkŭ"	"7"	"difficult"	"hard, arduous"	""
"艱難"	"jiānnán"	"7"	"difficult"	"hard, challenging"	""
"簡便"	"jiănbiàn"	"7"	"simple and convenient"	"handy"	""
"簡稱"	"jiănchēng"	"7"	"to be abbreviated to"	"abbreviation, short form"	""
"簡化"	"jiănhuà"	"7"	"to simplify"	""	""
"簡體"	"jiăntǐ"	"7"	"simplified form of Chinese characters, as opposed to traditional form 繁體|繁体[fan2 ti3]"	""	""
"檢討"	"jiăntăo"	"7"	"to examine or inspect"	"self-criticism, review"	""
"賤"	"jiàn"	"7"	"inexpensive"	"lowly"	""
"濺"	"jiàn"	"7"	"to splash"	""	""
"見解"	"jiànjiě"	"7"	"opinion"	"view, understanding"	""
"見識"	"jiànshì"	"7"	"to gain first-hand knowledge of sth"	"to experience for oneself, knowledge, experience, insight"	""
"見證"	"jiànzheng"	"7"	"to be witness to"	"witness, evidence"	""
"建造"	"jiànzào"	"7"	"to construct"	"to build"	""
"健身"	"jiànshēn"	"7"	"to exercise"	"to keep fit, to work out, physical exercise"	""
"健身房"	"jiànshēnfáng"	"7"	"gym"	"gymnasium"	""
"健壯"	"jiànzhuàng"	"7"	"robust"	"healthy, sturdy"	""
"將軍"	"jiāngjūn"	"7"	"Chiangchun township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan"	"general, high-ranking military officer, to check or checkmate, fig. to embarrass, to challenge, to put sb on the spot"	""
"獎勵"	"jiănglì"	"7"	"to reward"	"reward (as encouragement)"	""
"獎賞"	"jiăngshăng"	"7"	"reward"	"prize, award"	""
"獎狀"	"jiăngzhuàng"	"7"	"prize certificate"	"certificate of merit"	""
"講理"	"jiănglǐ"	"7"	"to argue"	"to reason with sb, to talk sense, to be reasonable"	""
"講習"	"jiăngxí"	"7"	"to lecture"	"to instruct"	""
"講義"	"jiăngyì"	"7"	"teaching materials"	""	""
"講座"	"jiăngzuò"	"7"	"a course of lectures"	"CL:個|个[ge4]"	""
"交錯"	"jiāocuò"	"7"	"to crisscross"	"to intertwine"	""
"交貨"	"jiāohuò"	"7"	"to deliver goods"	""	""
"交集"	"jiāojí"	"7"	"intersection (symbol ∩) (set theory)"	""	""
"交情"	"jiāoqíng"	"7"	"friendship"	"friendly relations"	""
"交涉"	"jiāoshè"	"7"	"to negotiate (with)"	"to have dealings (with)"	""
"交談"	"jiāotán"	"7"	"to discuss"	"to converse, chat, discussion"	""
"焦"	"jiao1"	"7"	"surname Jiao"	"burnt, scorched, charred, worried, anxious, coke, abbr. for 焦耳[jiao1 er3], joule"	"焦急 (jiāojí)"
"焦急"	"jiāojí"	"7"	"anxiety"	"anxious"	""
"腳本"	"jiăoběn"	"7"	"script"	""	""
"攪"	"jiao3"	"7"	"to disturb"	"to annoy, to mix, to stir"	"攪和 (jiǎohuo)"
"攪和"	"jiǎohuo"	"7"	"to mix (up)"	"to blend, to spoil"	""
"轎"	"jiao4"	"7"	"sedan chair"	"palanquin, litter"	"轎車 (jiàochē)"
"轎車"	"jiàochē"	"7"	"enclosed carriage for carrying passengers"	"motor carriage, car or bus, limousine, CL:部[bu4],輛|辆[liang4]"	""
"叫好"	"jiàohăo"	"7"	"to applaud"	"to cheer"	""
"教官"	"jiàoguān"	"7"	"military instructor"	""	""
"教化"	"jiàohuà"	"7"	"to enlighten"	"to civilize, to indoctrinate, to train (an animal)"	""
"誨"	"hui4"	"7"	"to teach"	"to instruct, to induce"	"教誨 (jiàohuǐ)"
"教誨"	"jiàohuǐ"	"7"	"to instruct"	""	""
"教徒"	"jiàotú"	"7"	"disciple"	"follower of a religion"	""
"教員"	"jiàoyuán"	"7"	"teacher"	"instructor, CL:個|个[ge4]"	""
"較量"	"jiàoliàng"	"7"	"to pit oneself against sb"	"to compete with sb, contest, battle, to haggle, to quibble"	""
"皆"	"jiē"	"7"	"all"	"each and every, in all cases"	""
"階層"	"jiēcéng"	"7"	"hierarchy"	"stratum, social class"	""
"階級"	"jiējí"	"7"	"(social) class"	"CL:個|个[ge4]"	""
"坊"	"fang1 fang2"	"7"	"surname Fang"	"lane (usually as part of a street name), memorial archway, workshop, mill, Taiwan pr. [fang1]"	"街坊 (jiēfang)"
"街坊"	"jiēfang"	"7"	"neighborhood"	"neighbor"	""
"接管"	"jiēguăn"	"7"	"to take over"	"to assume control"	""
"接連"	"jiēlián"	"7"	"on end"	"in a row, in succession"	""
"接納"	"jiēnà"	"7"	"to admit (to membership)"	""	""
"洽"	"qia4"	"7"	"accord"	"to make contact, to agree, to consult with, extensive"	"接洽 (jiēqià)"
"接洽"	"jiēqià"	"7"	"to discuss a matter with sb"	"to get in touch with, to arrange"	""
"接下來"	"jiēxiàlái"	"7"	"to accept"	"to take, next, following"	""
"揭"	"jie1"	"7"	"to take the lid off"	"to expose, to unmask"	"揭幕 (jiēmù)"
"揭幕"	"jiēmù"	"7"	"opening"	"unveiling"	""
"揭曉"	"jiēxiăo"	"7"	"to announce publicly"	"to publish, to make known, to disclose"	""
"潔白"	"jiébái"	"7"	"spotlessly white"	"pure white"	""
"儉"	"jian3"	"7"	"frugal"	"thrifty, needy"	"節儉 (jiéjiăn)"
"節儉"	"jiéjiăn"	"7"	"frugal"	"economical"	""
"節慶"	"jiéqìng"	"7"	"festival"	""	""
"竭"	"jie2"	"7"	"to exhaust"	""	"竭力 (jiélì)"
"竭力"	"jiélì"	"7"	"to do one's utmost"	""	""
"結實"	"jiéshi"	"7"	"to bear fruit"	"rugged, sturdy, strong, durable, buff (physique)"	""
"結業"	"jiéyè"	"7"	"to finish school, esp. a short course"	"to complete a course"	""
"結緣"	"jiéyuán"	"7"	"to form ties"	"to become attached (to sb, sth)"	""
"捷"	"jie2"	"7"	"variant of 捷[jie2]"	"quick, nimble, Czech, Czech Republic, abbr. for 捷克[Jie2 ke4], victory, triumph, quick, nimble, prompt"	"捷運 (jiéyùn)"
"捷運"	"jiéyùn"	"7"	"rapid transit"	"subway"	""
"解放"	"jiěfàng"	"7"	"to liberate"	"to emancipate, liberation, refers to the Communists' victory over the Nationalists in 1949, CL:次[ci4]"	""
"解渴"	"jiěkě"	"7"	"to quench"	""	""
"剖"	"pou1"	"7"	"to cut open"	"to analyze, Taiwan pr. [pou3]"	"解剖 (jiěpǒu)"
"解剖"	"jiěpǒu"	"7"	"to dissect (an animal)"	"to analyze, anatomy"	""
"解說"	"jiěshuō"	"7"	"to explain"	"to comment"	""
"解體"	"jiětǐ"	"7"	"to break up into components"	"to disintegrate, to collapse, to crumble"	""
"解脫"	"jiětuō"	"7"	"to untie"	"to free, to absolve of, to get free of, to extirpate oneself, (Buddhism) to free oneself of worldly worries"	""
"解約"	"jiěyuē"	"7"	"to terminate an agreement"	"to cancel a contract"	""
"屆時"	"jièshí"	"7"	"when the time comes"	"at the scheduled time"	""
"戒備"	"jièbèi"	"7"	"to take precautions"	"to guard against (emergency)"	""
"借貸"	"jièdài"	"7"	"to borrow or lend money"	"debit and credit items on a balance sheet"	""
"藉"	"jie4 ji2"	"7"	"variant of 借[jie4]"	"surname Ji, to insult, to walk all over (sb), sleeping mat, to placate"	"藉口 (jièkǒu)"
"藉口"	"jièkǒu"	"7"	"to use as an excuse"	"on the pretext, excuse, pretext, also written 借口[jie4 kou3]"	""
"介入"	"jièrù"	"7"	"to intervene"	"to get involved"	""
"金錢"	"jīnqián"	"7"	"money"	"currency"	""
"金魚"	"jīnyú"	"7"	"goldfish"	""	""
"津"	"jin1"	"7"	"saliva"	"sweat, a ferry crossing, a ford (river crossing), abbr. for Tianjin 天津"	"津貼 (jīntiē)"
"津貼"	"jīntiē"	"7"	"allowance"	""	""
"緊湊"	"jǐncòu"	"7"	"compact"	"terse, tight (schedule)"	""
"緊密"	"jǐnmì"	"7"	"inseparably close"	""	""
"緊縮"	"jǐnsuō"	"7"	"(economics) to reduce"	"to curtail, to cut back, to tighten, austerity, tightening, crunch"	""
"謹"	"jin3"	"7"	"cautious"	"careful, solemnly, sincerely (formal)"	"謹慎 (jǐnshèn)"
"謹慎"	"jǐnshèn"	"7"	"cautious"	"prudent"	""
"勁"	"jìn"	"7"	"strength"	"energy, enthusiasm, spirit, mood, expression, interest, CL:把[ba3], stalwart, sturdy, strong, powerful"	""
"進場"	"jìnchăng"	"7"	"to go into"	"to enter an arena (e.g. sporting)"	""
"進度"	"jìndù"	"7"	"pace"	"tempo, degree of progress (on project), work schedule"	""
"進而"	"jìnér"	"7"	"and then (what follows next)"	""	""
"進攻"	"jìngōng"	"7"	"to attack"	"to assault, to go on the offensive, attack, assault, offense (sports)"	""
"進化"	"jìnhuà"	"7"	"evolution"	"CL:個|个[ge4]"	""
"進軍"	"jìnjūn"	"7"	"to march"	"to advance"	""
"進修"	"jìnxiū"	"7"	"to undertake advanced studies"	"to take a refresher course"	""
"進展"	"jìnzhăn"	"7"	"to make headway"	"to make progress"	""
"晉"	"jin4"	"7"	"surname Jin"	"the Jin Dynasties (265-420), Western Jin 西晉|西晋[Xi1 Jin4] (265-316), Eastern Jin 東晉|东晋[Dong1 Jin4] (317-420) and Later Jin Dynasty (936-946), short name for Shanxi province 山西[Shan1 xi1], to move forward, to promote, to advance"	"晉級 (jìnjí)"
"晉級"	"jìnjí"	"7"	"to advance in rank"	"promotion, advancement"	""
"盡量"	"jìnliàng"	"7"	"as much as possible"	"to the greatest extent"	""
"禁令"	"jìnlìng"	"7"	"prohibition"	"ban"	""
"精光"	"jīngguāng"	"7"	"nothing left (money, food etc)"	"all finished, bright and shiny, radiant, glorious"	""
"精華"	"jīnghuá"	"7"	"best feature"	"most important part of an object, quintessence, essence, soul"	""
"精明"	"jīngmíng"	"7"	"astute"	"shrewd"	""
"髓"	"sui3"	"7"	"marrow"	"essence, quintessence, pith (soft interior of plant stem)"	"精髓 (jīngsuǐ)"
"精髓"	"jīngsuǐ"	"7"	"marrow"	"pith, quintessence, essence"	""
"緻"	"zhi4"	"7"	"fine"	"delicate, to send, to devote, to deliver, to cause, to convey"	"精緻 (jīngzhì)"
"精緻"	"jīngzhì"	"7"	"delicate"	"fine, exquisite, refined"	""
"經典"	"jīngdiăn"	"7"	"the classics"	"scriptures, classical, classic (example, case etc), typical"	""
"經書"	"jīngshū"	"7"	"classic books in Confucianism"	"scriptures, sutras"	""
"驚惶"	"jīnghuáng"	"7"	"panic-stricken"	""	""
"驚奇"	"jīngqí"	"7"	"to be amazed"	"to be surprised, to wonder"	""
"驚喜"	"jīngxǐ"	"7"	"nice surprise"	"to be pleasantly surprised"	""
"驚險"	"jīngxiăn"	"7"	"thrilling"	"a thriller"	""
"鯨"	"jing1"	"7"	"whale"	""	"鯨魚 (jīngyú)"
"鯨魚"	"jīngyú"	"7"	"whale"	"CL:條|条[tiao2]"	""
"井"	"jǐng"	"7"	"Jing, one of the 28 constellations of Chinese astronomy"	"surname Jing, a well, CL:口[kou3], neat, orderly"	""
"警報"	"jǐngbào"	"7"	"(fire) alarm"	"alert signal, alarm, alert, warning"	""
"警覺"	"jǐngjué"	"7"	"to be on guard"	"alert, vigilance, alertness"	""
"惕"	"ti4"	"7"	"fearful"	"respectful"	"警惕 (jǐngtì)"
"警惕"	"jǐngtì"	"7"	"to be on the alert"	"vigilant, alert, on guard, to warn"	""
"警衛"	"jǐngwèi"	"7"	"to stand guard over"	"(security) guard"	""
"景觀"	"jǐngguān"	"7"	"landscape"	""	""
"景氣"	"jǐngqì"	"7"	"(of economy, business etc) flourishing"	"prosperous"	""
"景物"	"jǐngwù"	"7"	"scenery"	""	""
"景象"	"jǐngxiàng"	"7"	"scene"	"sight (to behold)"	""
"敬佩"	"jìngpèi"	"7"	"to esteem"	"to admire"	""
"境地"	"jìngdì"	"7"	"circumstances"	""	""
"靜脈"	"jìngmài"	"7"	"vein"	""	""
"靜態"	"jìngtài"	"7"	"static"	"sedate, quiet, passive, (physics) static, steady-state, (electronics) quiescent"	""
"競賽"	"jìngsài"	"7"	"race"	"competition, CL:個|个[ge4]"	""
"競選"	"jìngxuăn"	"7"	"to take part in an election"	"to run for office"	""
"揪"	"jiū"	"7"	"to seize"	"to clutch, to grab firmly and pull"	""
"糾紛"	"jiūfēn"	"7"	"dispute"	""	""
"酒店"	"jiŭdiàn"	"7"	"wine shop"	"pub (public house), hotel, restaurant, (Tw) hostess club"	""
"酒館"	"jiŭguăn"	"7"	"tavern"	"pub, wine shop"	""
"酒精"	"jiŭjīng"	"7"	"alcohol"	"ethanol CH3CH2OH, ethyl alcohol, also written 乙醇, grain alcohol"	""
